.SEGMENT TEXT 3450-3478 ? "at the North Pole. I've heard"
.SEGMENT TEXT 3479-3508 ? "of being out of the high-rent"
.SEGMENT TEXT 3620-3649 ? "Maybe I'm old-fashioned, but"
.SEGMENT TEXT 3672-3699 ? "dancers. Why can't they dance"
.SEGMENT TEXT 3700-3729 ? "on the floors like everybody"
.SEGMENT TEXT 3730-3735 ? "else?"
.SEGMENT TEXT 3796-3813 ? "a firmer mattress."
.SEGMENT TEXT 3865-3881 ? "dry cleans them!"
.SEGMENT TEXT 3918-3936 ? "People who are driven to"
.SEGMENT TEXT 3937-3959 ? "drink, rarely have trouble"
.SEGMENT TEXT 3985-4001 ? "(512) 984-6464"
.SEGMENT TEXT 4002-4017 ? "Beverly Williams"
.SEGMENT TEXT 4018-4037 ? "383 Camino Ecenado"
.SEGMENT TEXT 4071-4089 ? "420 White Birch Dr."
.SEGMENT TEXT 4161-4186 ? "Pierce says Arkansas, now"
.SEGMENT TEXT 4187-4211 ? "that Purdue is out). They"
.SEGMENT TEXT 4212-4239 ? "asked each other about their"
.SEGMENT TEXT 4255-4269 ? "Claudia Morris"
.SEGMENT TEXT 4270-4281 ? "Linda Furio"
.SEGMENT TEXT 4282-4290 ? "Mary Alden"
.SEGMENT TEXT 4291-4319 ? "\"This will surprise you, Mr."
.SEGMENT TEXT 4320-4345 ? "Lorrimer, but I get them"
.SEGMENT TEXT 4346-4367 ? "direct from Havana.\""
.SEGMENT TEXT 4406-4433 ? "society, regardless of the"
.SEGMENT TEXT 4434-4465 ? "reasons which they may think"
.SEGMENT TEXT 4466-4496 ? "motivated them to take up the"
.SEGMENT TEXT 4525-4547 ? "up playing one or another"
.SEGMENT TEXT 4548-4577 ? "version of Good-o. Many start"
.SEGMENT TEXT 4624-4653 ? "the hope of getting exercise"
.SEGMENT TEXT 4679-4705 ? "pressures of daily life, but"
.SEGMENT TEXT 4706-4725 ? "they end by setting"
.SEGMENT TEXT 4726-4748 ? "impossible standards of"
.SEGMENT TEXT 4805-4830 ? "and tense on the court than"
.SEGMENT TEXT 4841-4869 ? "An Arkansas-Arizona matchup"
.SEGMENT TEXT 4870-4892 ? "could have occurred months"
.SEGMENT TEXT 4920-4940 ? "Olson said no thanks."
.SEGMENT TEXT 4941-4967 ? "TURAY, Nicholas, 75, San"
.SEGMENT TEXT 4968-4997 ? "Jose, shipping clerk. Service"
.SEGMENT TEXT 4998-5022 ? "at 1:30 p.m. Wednesday at"
.SEGMENT TEXT 5023-5043 ? "Lima Family Santa Clara"
.SEGMENT TEXT 5071-5097 ? "He was in the Marine Corps"
.SEGMENT TEXT 5098-5122 ? "himself from 1966 to 1972,"
.SEGMENT TEXT 5123-5151 ? "including service in Vietnam."
.SEGMENT TEXT 5152-5182 ? "Mr. McGaffin's partner, Tom"
.SEGMENT TEXT 5234-5250 ? "a court reporter."
.SEGMENT TEXT 5251-5271 ? "Show me a fella who eats"
.SEGMENT TEXT 5272-5302 ? "nothing but pastrami, bagels,"
.SEGMENT TEXT 5330-5353 ? "show you a man with a deli"
.SEGMENT TEXT 5354-5361 ? "belly!"
.SEGMENT TEXT 5362-5393 ? "Dr. Jack Kevorkian will break"
.SEGMENT TEXT 5471-5503 ? "debilitating arthritis pain,"
.SEGMENT TEXT 5504-5527 ? "Kevorkian's lawyer said"
.SEGMENT TEXT 5574-5602 ? "I know a fella who's against"
.SEGMENT TEXT 5635-5665 ? "own quiet way. He just bought"
.SEGMENT TEXT 5677-5686 ? "Juli Orms"
.SEGMENT TEXT 5758-5787 ? "mean to think about the ball,"
.SEGMENT TEXT 5842-5869 ? "kind of spin it has; one is"
.SEGMENT TEXT 5896-5921 ? "Most players look at the"
.SEGMENT TEXT 6015-6044 ? "concentration. They look at"
.SEGMENT TEXT 6069-6101 ? "time they are thinking about"
.SEGMENT TEXT 6102-6129 ? "how they want to hit it, or"
.SEGMENT TEXT 6130-6155 ? "about what the score will be"
.SEGMENT TEXT 6239-6262 ? "mind does not admit such"
.SEGMENT TEXT 6351-6367 ? "concentration."
.SEGMENT TEXT 6445-6473 ? "incentive,\" he says. \"But"
.SEGMENT TEXT 6531-6559 ? "of inclusion in financial"
.SEGMENT TEXT 6560-6581 ? "statements. They are"
.SEGMENT TEXT 6582-6615 ? "contradicting themselves. If"
.SEGMENT TEXT 6668-6681 ? "(816) 895-1573"
.SEGMENT TEXT 6695-6711 ? "IJUYP VB YD RV W"
.SEGMENT TEXT 6771-6785 ? "(507) 910-4863"
.SEGMENT TEXT 6812-6826 ? "Corona, CA 91719"
.SEGMENT TEXT 6827-6843 ? "Heather Snyder"
.SEGMENT TEXT 6854-6870 ? "19354 Diplomat"
.SEGMENT TEXT 6871-6885 ? "Corona, CA 91719"
.SEGMENT TEXT 6918-6931 ? "Michelle Darr"
.SEGMENT TEXT 7037-7051 ? "(403) 409-3302"
.SEGMENT TEXT 7052-7061 ? "Amy Davis"
.SEGMENT TEXT 7075-7084 ? "Jo Klotz"
.SEGMENT TEXT 7121-7135 ? "Corona, CA 91719"
.SEGMENT TEXT 7136-7164 ? "YXF CTD IKMG AINJ P"
.SEGMENT TEXT 7165-7175 ? "Sheree Wells"
.SEGMENT TEXT 7209-7234 ? "in a guitar factory -- jug"
.SEGMENT TEXT 7235-7258 ? "blowing would come back!"
